date	fed-o	fed	type	level	status	comment
1615215021	14	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1615215021	14	1	8	8	0	OFF - OK
1615215021	14	1	49	10	19	Delete ObjID = 1 - Exception
1615215021	14	2	49	6	0	Delete ObjID = 1 - OK
1615215021	14	2	49	10	63	Delete ObjID = 2Object <2> not found in map set. - Exception
1615215021	14	2	49	10	63	Delete ObjID = 3Object <3> not found in map set. - Exception
1615215021	14	2	8	8	0	OFF - OK
1615215021	14	2	7	9	0	Federate 2 resign federation(14) - OK
1615215021	14	1	7	9	0	Federate 1 resign federation(14) - OK
1615215021	0	0	1	9	0	Socket 20 - OK
1615215021	0	0	4	9	0	Federation Name "Node0" (14) destroyed - OK
1615215022	0	0	1	9	0	Socket 19 - OK
1615215022	0	0	1	9	0	Socket 13 - OK
1615215022	0	0	1	9	0	Socket 8 - OK
1615215650	0	0	1	9	0	Socket 16 - OK
1615215650	0	0	1	9	0	Socket 7 - OK
1615215650	0	0	1	9	0	Socket 6 - OK
1615215650	0	0	1	9	0	Socket 12 - OK
1615215650	0	0	1	9	0	Socket 15 - OK
1615216481	0	0	3	9	0	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 16 created - OK
1615216481	0	0	5	9	0	Federate "SYNCH_OMNET" joins Federation "GLOBAL_SYNCHRONIZATION"(16) with handle 1. Socket 6 - OK
1615216481	16	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615216481	16	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615216481	16	1	35	7	0	Publish Interaction Class = 4 - OK
1615216481	16	1	9	8	0	ON at time 0.000000 - OK
1615216481	16	1	8	8	0	ON at time 1.000000 - OK
1615216482	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 17 created - OK
1615216482	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE0"(17) with handle 1. Socket 7 - OK
1615216482	17	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615216482	17	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615216482	17	1	35	7	0	Publish Interaction Class = 4 - OK
1615216483	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 18COSSIM_PROC_NET_NODE0 - Exception
1615216483	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE0"(17) with handle 2. Socket 11 - OK
1615216483	17	2	35	7	0	Publish Interaction Class = 3 - OK
1615216483	17	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615216483	17	2	15	8	0	Label "Init" ended - OK
1615216483	17	1	15	8	0	Label "Init" ended - OK
1615216484	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 19GLOBAL_SYNCHRONIZATION - Exception
1615216484	0	0	5	9	0	Federate "GEM5_NODE0" joins Federation "GLOBAL_SYNCHRONIZATION"(16) with handle 2. Socket 12 - OK
1615216484	16	2	35	7	0	Publish Interaction Class = 3 - OK
1615216484	16	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615216484	16	2	9	8	0	ON at time 0.000000 - OK
1615216484	16	2	8	8	0	ON at time 1.000000 - OK
1615216484	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 20 created - OK
1615216484	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE1"(20) with handle 1. Socket 13 - OK
1615216484	20	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615216484	16	2	15	8	0	Label "Init" ended - OK
1615216484	20	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615216484	20	1	35	7	0	Publish Interaction Class = 4 - OK
1615216484	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 21COSSIM_PROC_NET_NODE1 - Exception
1615216484	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE1"(20) with handle 2. Socket 10 - OK
1615216484	20	2	35	7	0	Publish Interaction Class = 3 - OK
1615216484	20	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615216484	20	1	15	8	0	Label "Init" ended - OK
1615216484	20	2	15	8	0	Label "Init" ended - OK
1615216484	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 22 created - OK
1615216484	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE2"(22) with handle 1. Socket 15 - OK
1615216484	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 23GLOBAL_SYNCHRONIZATION - Exception
